region,icb,org_code,org_name,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,reporting_days,nctr_not_discharged_rate,nctr_discharged_rate
SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,105.54520547945205,46.12602739726027,59.41917808219178,38524.0,16836.0,21688.0,365,56.29737306614059,43.70262693385941
NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,276.4164383561644,120.81917808219178,155.5972602739726,100892.0,44099.0,56793.0,365,56.29088530309638,43.70911469690362
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,535.3123287671233,235.18082191780823,300.1315068493151,195389.0,85841.0,109548.0,365,56.06661582791253,43.93338417208747
SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,144.4,63.95616438356164,80.44383561643835,52706.0,23344.0,29362.0,365,55.709027435206615,44.29097256479338
MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,211.17534246575343,94.33150684931506,116.84383561643835,77079.0,34431.0,42648.0,365,55.330245592184646,44.66975440781536
SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,94.04109589041096,42.12602739726027,51.915068493150685,34325.0,15376.0,18949.0,365,55.20466132556445,44.79533867443554
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,230.42739726027398,103.63561643835617,126.79178082191781,84106.0,37827.0,46279.0,365,55.024611799396,44.975388200604
MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,162.81095890410958,73.38630136986302,89.42465753424658,59426.0,26786.0,32640.0,365,54.92545350519974,45.07454649480025
MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,362.0493150684932,163.44109589041096,198.60821917808218,132148.0,59656.0,72492.0,365,54.85667584829132,45.14332415170869
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,136.44383561643835,61.90684931506849,74.53698630136986,49802.0,22596.0,27206.0,365,54.62832817959118,45.37167182040882
LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",178.62465753424658,81.98630136986301,96.63835616438357,65198.0,29925.0,35273.0,365,54.101352802233194,45.8986471977668
LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,R1H,BARTS HEALTH NHS TRUST,320.68219178082194,147.96712328767123,172.71506849315068,117049.0,54008.0,63041.0,365,53.858640398465596,46.1413596015344
MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,132.66849315068492,61.586301369863016,71.08219178082192,48424.0,22479.0,25945.0,365,53.57880389889311,46.42119610110689
LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,63.76986301369863,29.76986301369863,34.0,23276.0,10866.0,12410.0,365,53.31672108609726,46.68327891390273
MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,118.21095890410959,55.92054794520548,62.29041095890411,43147.0,20411.0,22736.0,365,52.69427770181009,47.305722298189906
SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,120.96986301369863,57.81643835616438,63.153424657534245,44154.0,21103.0,23051.0,365,52.20591565883046,47.79408434116954
NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,150.92876712328768,73.04931506849314,77.87945205479453,55089.0,26663.0,28426.0,365,51.60013795857612,48.39986204142388
